Provincia,Partido ,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL,conectividad
FORMOSA,Patiño,Subteniente Perín,0,0,0,0,0,0,0,1,0,SI
FORMOSA,,El Espinillo,0,0,0,0,1,1,0,1,1,SI
CABA,COMUNA 07,PARQUE CHACABUCO,0,1,1,1,0,0,1,0,1,SI
FORMOSA,,Portón Negro,0,0,0,0,0,0,0,0,0,NO
FORMOSA,Pilagás,Tres Lagunas,0,0,0,0,0,0,1,0,0,SI
ENTRE RIOS,,Pueblo General Belgrano,0,1,0,0,1,1,0,0,0,SI
ENTRE RIOS,Islas del Ibicuy,Arroyo Martínez,0,0,0,0,0,1,0,0,0,SI
ENTRE RIOS,Islas del Ibicuy,Médanos,0,0,0,0,0,0,0,0,0,NO
ENTRE RIOS,,Ñancay,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Santa Elena,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Villa Allende,1,1,0,1,1,1,0,1,0,SI
CORDOBA,Colón,Villa Corazon De Maria,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,Alto de los Quebrachos,0,0,0,0,0,0,0,1,0,SI
CORDOBA,,Estación Lecueder,0,0,0,0,0,0,0,0,0,NO
CORDOBA,General Roca,Mattaldi,0,0,0,0,0,1,0,0,0,SI
CORDOBA,General Roca,Nicolás Bruzzone,0,0,0,0,0,0,1,0,0,SI
CORDOBA,,Ranqueles,0,0,0,0,0,0,0,0,0,NO
CORDOBA,General San Martín,Arroyo Algodón,0,0,0,1,0,1,0,1,0,SI
CORDOBA,,Villa Sarmiento,1,0,0,0,1,0,0,0,0,SI
CORDOBA,San Javier,El Pantanillo,0,0,0,0,0,0,0,0,0,NO
CORDOBA,,La Población,0,0,0,0,0,0,0,1,0,SI
CORDOBA,,Loma Bola,0,0,0,0,0,0,0,1,0,SI
CORDOBA,San Javier,Los Hornillos,0,0,0,0,0,1,1,1,0,SI
CORDOBA,,Chazón,0,1,0,0,1,1,0,0,0,SI
CORDOBA,General San Martín,Etruria,0,1,0,0,0,0,1,0,1,SI
CORDOBA,,La Palestina,0,0,0,0,1,0,0,1,0,SI
CORDOBA,,Luca,0,0,0,0,1,0,0,0,0,SI
CABA,COMUNA 11,VILLA DEL PARQUE,0,1,1,1,0,1,1,1,0,SI
CORDOBA,,San Javier y Yacanto,0,0,0,0,1,1,0,1,0,SI
